Dia de Data Registro Vacina;Dose;Contagem de Dose
30 de junho de 2021;1° DOSE;227818
29 de junho de 2021;1° DOSE;382714
28 de junho de 2021;1° DOSE;288149
27 de junho de 2021;1° DOSE;35104
26 de junho de 2021;1° DOSE;301371
25 de junho de 2021;1° DOSE;408184
24 de junho de 2021;1° DOSE;409885
23 de junho de 2021;1° DOSE;422910
22 de junho de 2021;1° DOSE;331077
21 de junho de 2021;1° DOSE;336934
20 de junho de 2021;1° DOSE;42870
19 de junho de 2021;1° DOSE;405347
18 de junho de 2021;1° DOSE;433859
17 de junho de 2021;1° DOSE;468294
16 de junho de 2021;1° DOSE;403324
15 de junho de 2021;1° DOSE;283020
14 de junho de 2021;1° DOSE;251747
13 de junho de 2021;1° DOSE;16764
12 de junho de 2021;1° DOSE;154098
11 de junho de 2021;1° DOSE;246659
10 de junho de 2021;1° DOSE;189602
9 de junho de 2021;1° DOSE;176597
8 de junho de 2021;1° DOSE;167598
7 de junho de 2021;1° DOSE;168928
6 de junho de 2021;1° DOSE;10548
5 de junho de 2021;1° DOSE;91432
4 de junho de 2021;1° DOSE;131705
3 de junho de 2021;1° DOSE;113151
2 de junho de 2021;1° DOSE;214050
1 de junho de 2021;1° DOSE;149926
31 de maio de 2021;1° DOSE;151652
30 de maio de 2021;1° DOSE;14293
29 de maio de 2021;1° DOSE;113524
28 de maio de 2021;1° DOSE;198762
27 de maio de 2021;1° DOSE;133939
26 de maio de 2021;1° DOSE;136843
25 de maio de 2021;1° DOSE;147122
24 de maio de 2021;1° DOSE;146232
23 de maio de 2021;1° DOSE;17553
22 de maio de 2021;1° DOSE;91516
21 de maio de 2021;1° DOSE;196095
20 de maio de 2021;1° DOSE;137185
19 de maio de 2021;1° DOSE;147155
18 de maio de 2021;1° DOSE;211946
17 de maio de 2021;1° DOSE;74261
16 de maio de 2021;1° DOSE;81973
15 de maio de 2021;1° DOSE;121533
14 de maio de 2021;1° DOSE;200935
13 de maio de 2021;1° DOSE;151717
12 de maio de 2021;1° DOSE;182281
11 de maio de 2021;1° DOSE;116999
10 de maio de 2021;1° DOSE;107406
9 de maio de 2021;1° DOSE;11473
8 de maio de 2021;1° DOSE;127743
7 de maio de 2021;1° DOSE;251955
6 de maio de 2021;1° DOSE;264877
5 de maio de 2021;1° DOSE;157727
4 de maio de 2021;1° DOSE;126251
3 de maio de 2021;1° DOSE;80417
2 de maio de 2021;1° DOSE;8443
1 de maio de 2021;1° DOSE;28501
30 de abril de 2021;1° DOSE;108625
29 de abril de 2021;1° DOSE;157033
28 de abril de 2021;1° DOSE;104176
27 de abril de 2021;1° DOSE;95379
26 de abril de 2021;1° DOSE;114497
25 de abril de 2021;1° DOSE;12187
24 de abril de 2021;1° DOSE;64588
23 de abril de 2021;1° DOSE;185350
22 de abril de 2021;1° DOSE;140584
21 de abril de 2021;1° DOSE;208747
20 de abril de 2021;1° DOSE;120188
19 de abril de 2021;1° DOSE;70614
18 de abril de 2021;1° DOSE;14466
17 de abril de 2021;1° DOSE;35486
16 de abril de 2021;1° DOSE;66093
15 de abril de 2021;1° DOSE;89086
14 de abril de 2021;1° DOSE;122108
13 de abril de 2021;1° DOSE;133941
12 de abril de 2021;1° DOSE;144933
11 de abril de 2021;1° DOSE;11870
10 de abril de 2021;1° DOSE;67069
9 de abril de 2021;1° DOSE;42452
8 de abril de 2021;1° DOSE;56304
7 de abril de 2021;1° DOSE;88695
6 de abril de 2021;1° DOSE;116179
5 de abril de 2021;1° DOSE;111067
4 de abril de 2021;1° DOSE;5700
3 de abril de 2021;1° DOSE;42089
2 de abril de 2021;1° DOSE;49361
1 de abril de 2021;1° DOSE;91302
31 de março de 2021;1° DOSE;84279
30 de março de 2021;1° DOSE;113230
29 de março de 2021;1° DOSE;160332
