 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Brasil
Valor despendido por Região/UF e Ano/Mês Compet
Período:Dez/1996-Dez/2006
"Região/UF";"1996/Dez";"1997/Jan";"1997/Fev";"1997/Mar";"1997/Abr";"1997/Mai";"1997/Jun";"1997/Jul";"1997/Ago";"1997/Set";"1997/Out";"1997/Nov";"1997/Dez";"1998/Jan";"1998/Fev";"1998/Mar";"1998/Abr";"1998/Mai";"1998/Jun";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Nov";"1998/Dez";"1999/Jan";"1999/Fev";"1999/Mar";"1999/Abr";"1999/Mai";"1999/Jun";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Out";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Abr";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Ago";"2002/Set";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Mai";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Set";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"Total"
"Região Norte";23748368,57;24853947,35;25232863,32;26802221,93;26969048,05;27102915,20;27600500,43;27663333,08;27462744,95;27744480,58;27513690,87;27626338,86;26999451,08;25356813,65;27596804,98;28153875,02;27513840,82;30882786,91;36912880,33;38615427,83;40414486,25;40911776,90;41314064,22;41812783,11;41061209,80;42973031,60;43226479,60;45729486,61;46615444,45;47857810,48;49176412,91;51679517,48;52377583,19;55314641,08;57965500,67;56347031,36;59591403,59;58089602,26;59157322,51;59536539,71;60451945,62;62106273,74;67908071,95;66992258,09;68254793,04;67459889,72;67228047,96;49916636,44;70290568,73;65734001,06;68398988,64;70405578,04;74375029,91;73205406,88;71829430,03;74322762,03;72897941,25;72480976,23;82786329,49;75988397,03;77605243,68;79979005,91;76089358,77;78049832,51;77361161,40;78015302,02;83692657,22;80843917,34;86573864,97;83537156,00;83718929,07;85261910,80;83066356,68;83773973,32;82515761,61;83372786,98;84568960,04;89535242,05;91877034,53;91435297,20;93254368,32;100878940,35;98926255,18;102541637,34;99412360,39;98872821,04;98656325,42;95494169,95;102430166,69;107500000,88;105423840,52;111152019,46;108662912,42;113266682,25;112605451,77;124574244,59;115544395,96;105942107,19;115038651,47;117648228,31;120362266,30;120887657,29;121390657,92;130755450,30;123544381,55;135452127,94;123274987,04;134390557,28;136867661,96;133697853,47;131512029,84;132147525,78;134612033,64;140539257,90;139039719,68;143384576,62;147734563,75;156455474,96;145111558,57;141820732,13;2759175,67;9420977368,66
".. Rondônia";3177191,76;3320136,75;3411641,68;3572435,36;3649768,98;3646687,80;3865345,15;3971535,94;3806259,71;3823095,61;3877585,62;3885451,63;3549096,97;3127553,37;3581949,98;3736445,27;3472018,57;4292575,47;4669911,87;4942456,72;5408251,97;5327511,52;5261807,96;5275658,57;5178037,33;5295916,30;5323353,97;5515035,44;5521883,76;5815933,47;5831151,10;5931485,33;5903292,84;6284131,04;6765662,35;6700316,37;6800424,22;6748195,29;6721859,64;6957443,07;6835424,41;7233055,56;7198482,28;7171535,54;6984557,87;7002344,61;7116724,48;5817097,96;7920047,80;6978435,11;7884935,52;7855708,45;8479782,74;8638334,43;8410690,79;8451459,05;8286564,60;8496138,31;9441892,03;8712357,09;8964978,61;9450800,25;8978504,25;9111075,66;9437720,18;9627765,97;9337359,52;9500365,01;9714401,59;9474650,79;9623776,77;9443577,18;9382214,78;9483573,26;9445937,33;9205916,71;9420435,46;9753157,90;10195573,28;9864800,10;10264893,67;11322994,99;11301007,17;11015307,02;10971516,17;10972630,38;10736831,70;10452855,74;11373442,83;11334926,91;11570290,41;11719126,45;11921736,55;12004902,28;11703122,27;12587622,95;12202133,96;11667909,14;12276348,76;12806263,83;12711565,65;12779839,56;12846099,41;13444635,98;13003590,15;14752275,70;13260761,69;14585613,97;14900256,51;14149066,30;13865664,91;14021869,13;14478166,45;15319205,23;15151591,16;15999069,19;16209808,77;17086822,96;15232460,66;14616801,11;330519,99;1057230196,64
".. Acre";944282,38;867309,54;951820,19;960966,84;787390,82;1109818,59;1035226,90;865276,74;942726,46;947649,25;796965,01;989453,22;822403,17;829595,82;908671,97;960094,97;925110,61;1046026,85;1346322,93;1608885,66;1489481,90;1511534,68;1715325,82;1547622,92;1589396,56;1890840,71;1879552,40;2061229,01;2107188,58;2045464,71;2300960,93;2272247,07;2251643,38;2474217,25;2502721,23;2326700,70;2249899,05;2367423,80;2314710,79;2401990,74;2413675,10;2786296,44;3233312,55;3119939,92;3469020,38;3138878,12;3281260,08;3051059,85;3521340,84;2983103,82;2968300,10;3119948,49;3471620,30;3340404,00;3233940,19;3471011,36;3719123,04;3464535,97;3956965,49;3678095,74;3486259,08;3854627,83;3433398,37;3517317,34;3072100,00;3473772,68;3743234,69;3748862,80;3892595,33;4296466,81;3855130,57;4184971,01;3834223,76;3846331,71;3758297,94;3923392,71;3955858,23;4368758,22;4459258,84;4700776,98;5034030,20;5218589,58;5712333,04;5242942,43;4937458,63;5103995,65;5066176,08;5086572,46;5297726,72;5437298,19;5440593,72;5796257,83;5829850,90;6384337,94;6860879,38;6866321,87;6468007,93;5793101,63;6453791,48;6949634,36;6712724,31;6768725,53;6683665,70;7160024,73;6721854,03;8008240,94;6346218,87;7804917,13;8176364,14;7857115,68;7116760,88;7015936,33;7909779,71;7863297,24;8302800,93;8175741,86;8230661,38;8539884,86;7934847,10;7987268,91;215159,35;470285506,46
".. Amazonas";4336781,40;5010885,87;4913745,52;4616822,79;4979138,05;4967995,99;5211568,39;5101351,12;5096573,35;5219355,48;4999089,76;5116217,50;4848166,11;4827896,40;5069834,44;5369396,77;5359807,38;5862590,69;7356004,58;7544361,88;7994062,65;8101092,00;8032505,24;8124821,53;7815644,54;8254022,87;7966421,78;8871943,22;9105140,05;9458818,55;9621698,60;10093651,61;10543016,22;10554124,32;11452693,57;10439161,96;11241141,53;10754101,64;11506527,83;11531298,07;11812589,35;11997419,97;13769711,64;13564940,87;13845865,65;13566937,68;13535399,20;13687829,13;14483799,51;13155454,83;12917431,85;14327069,94;14593520,60;15347736,27;14943418,10;15645376,13;15572472,13;15428212,44;16424440,87;15598570,41;15652781,68;16777460,12;15976733,06;17012447,57;15518685,16;15967317,35;17996180,95;17716089,54;18753720,72;17613957,38;18163585,60;18619732,07;17529949,04;17875797,16;18394840,40;18378809,53;18874998,62;19550971,27;20470214,04;19730100,84;20305479,35;21806300,46;21150239,16;22677673,64;21448259,96;21833237,05;21753782,53;20464976,42;22159733,17;22817429,94;22725446,71;23514896,75;22727679,26;24876021,95;25128747,90;28094148,70;24869969,37;23021412,54;25166801,86;24848108,53;26967723,85;26475578,65;26114731,27;30435026,15;27440093,09;30336581,18;26566709,61;27841297,04;29724643,86;28934925,26;29383435,15;29097855,92;30830222,23;31346237,63;30894237,45;32466319,78;33067484,03;34514054,51;32582043,93;31565825,22;733295,39;1996770706,37
".. Roraima";469411,74;603184,00;605462,97;608870,37;608234,68;610166,82;611244,22;609144,58;592205,04;600587,08;611224,59;611244,73;611196,59;608617,77;606055,97;611149,32;633515,66;583545,20;594913,74;614343,87;814195,18;726464,18;804863,25;795131,86;784025,47;842285,90;841630,80;865332,13;1079301,56;963526,89;1025477,87;1058009,95;1173045,82;1216625,01;1157770,15;955223,50;598387,51;533469,51;523469,51;711212,95;771941,01;1478359,05;1690841,26;1563318,81;1682510,17;1615872,87;1635219,35;1338673,59;1835084,54;1438310,29;1459460,88;1650685,68;1814172,97;1720902,99;1693503,41;1791808,84;1802203,85;1830705,53;1883221,60;2017836,68;2553403,47;2263367,72;2191324,59;2189951,92;2357818,59;2370369,79;2413986,49;2319592,24;2516482,60;2413753,02;2416579,22;2428077,83;2447781,13;2420261,21;2562562,58;2394234,87;2588147,46;2733619,15;2751573,24;3362038,23;2689253,20;2814210,19;2838964,79;4399114,76;3418835,20;2899539,75;2898003,19;2870883,25;2960731,97;3050219,24;3014549,57;3274448,98;3174357,24;3266063,68;3230803,11;3567549,27;3322985,84;2858923,17;3285989,50;3470540,93;3421046,30;3407180,32;3402757,96;3859898,22;3579084,82;3913708,57;3807070,57;4368173,17;4408963,06;3995110,07;4239602,80;4456636,05;3446025,14;4297939,26;4224021,39;4674857,88;4484443,55;4692115,64;4353518,11;4481393,68;254548,70;256957388,75
".. Pará";11228871,41;11556128,22;11824012,11;13468475,94;13401365,27;13099395,03;13254395,20;13436422,77;13308450,49;13429383,16;13453243,13;13297881,63;13447754,17;12397593,90;13227243,61;13355601,71;12914652,85;14892754,12;17462798,72;18216312,84;18836614,69;19186194,85;19432063,06;19843313,72;19474854,55;20295986,36;20910980,26;21838816,97;21864488,91;22487194,08;22871496,37;24640961,71;24887144,70;26043444,60;27443378,28;26765174,88;29491707,81;28371497,39;28848371,21;28485795,54;29182707,28;28925095,26;31534714,61;31186344,37;31739167,05;31872634,74;31558603,25;16895432,01;32171629,19;31320598,12;32757284,40;32652106,13;34628849,73;33210062,35;32830659,35;34625946,12;32141500,28;32684252,71;39620258,09;34894979,13;35438724,32;35540480,60;34163581,75;34729070,09;35118862,41;34968608,72;37746100,86;35139844,64;38042384,46;37161276,21;37152176,27;37950178,97;37201750,02;37754880,64;35718446,42;36708489,49;36771424,10;39375016,19;40008476,94;39545918,33;40401186,61;44294155,20;42218606,25;43667622,66;42928683,57;43405297,32;42598702,63;40764773,77;44415012,77;47413062,55;45918166,96;48686274,56;46782706,96;48528022,78;47243483,88;52935454,62;49085245,30;45253043,57;48097926,30;49046230,51;49831651,21;50132399,04;50167728,28;54004262,69;51393233,58;54502030,77;53320506,81;56673820,39;56631393,89;56154212,80;55018640,71;54969681,25;57380921,29;58126629,67;57351411,72;58348701,23;61629489,80;66087096,94;61401423,46;59654186,35;900814,67;4152724627,14
".. Amapá";669296,44;686171,78;681763,44;676219,33;684871,51;685661,98;678181,96;681815,66;681771,13;681895,40;683307,43;681691,45;681766,53;549824,72;821705,42;805748,76;704324,43;690893,56;1065359,86;1081758,07;1185259,68;1311343,76;1265047,58;1259668,67;1265710,93;1365054,49;1299521,74;1370824,25;1420946,25;1534035,36;1547538,34;1497378,94;1510284,57;1990215,99;1850235,00;2043971,43;2015558,52;2107710,86;2054675,33;2117452,80;2101138,61;2216503,47;2220146,79;2202460,95;2381222,45;2275215,99;2039048,05;2233862,54;2591884,73;2136095,53;2553857,34;2524235,01;2670495,23;2557671,00;2454309,86;1756673,16;2958333,77;2210801,74;2464801,55;2229355,32;2297816,83;2950508,30;2468775,27;2546261,32;2484158,35;2419111,90;2608351,78;2559958,45;2929900,73;2602180,90;2542805,26;2441734,12;2533010,09;2379212,62;2538522,00;2595681,49;2767019,40;2899669,24;2896314,24;3274718,70;3201751,84;3389015,80;3607041,76;3419136,22;3428987,78;2422561,68;3634329,02;3662274,21;3738415,31;4039414,69;3840084,55;4317851,06;4264259,89;4366933,26;4256222,50;4569075,65;4556523,85;4260035,39;4576265,56;4904105,01;4958778,79;5027584,50;5101975,45;5389917,42;5193030,28;5776026,33;5342438,01;5907044,53;6049581,62;5665448,83;5539924,34;5656694,66;5872808,53;5969710,52;5721907,43;6115405,70;6132895,76;6487187,71;6268264,45;6398531,01;47059,82;339176788,15
".. Tocantins";2922533,44;2810131,19;2844417,41;2898431,30;2858278,74;2983188,99;2944538,61;2997786,27;3034758,77;3042514,60;3092275,33;3044398,70;3039067,54;3015731,67;3381343,59;3315438,22;3504411,32;3514401,02;4417568,63;4607308,79;4686620,18;4747635,91;4802451,31;4966565,84;4953540,42;5028924,97;5005018,65;5206305,59;5516495,34;5552837,42;5978089,70;6185782,87;6109155,66;6751882,87;6793040,09;7116482,52;7194284,95;7207203,77;7187708,20;7331346,54;7334469,86;7469543,99;8260862,82;8183717,63;8152449,47;7988005,71;8061793,55;6892681,36;7766782,12;7722003,36;7857718,55;8275824,34;8716588,34;8390295,84;8262908,33;8580487,37;8417743,58;8366329,53;8994749,86;8857202,66;9211279,69;9141761,09;8877041,48;8943708,61;9371816,71;9188355,61;9847442,93;9859204,66;10724379,54;9974870,89;9964875,38;10193639,62;10137427,86;10013916,72;10097154,94;10166262,18;10191076,77;10854050,08;11095623,95;10956944,02;11357773,45;12033674,13;12098063,01;12119840,61;12278619,08;12235559,21;11968500,27;12191834,10;12485103,92;13407649,36;12914708,60;13843163,83;13962321,62;13840400,36;14182192,73;15954071,53;15039529,71;13087681,75;15181528,01;15623345,14;15758776,19;16296349,69;17073699,85;16461685,11;16213495,60;18163264,45;14631281,48;17209691,05;16976458,88;16941974,53;16348001,05;16928852,44;14694110,29;17616238,35;17393749,60;17604480,98;17979780,46;19048312,34;17339000,86;17116725,85;277777,75;1147832155,15
"Região Nordeste";138989401,29;139271214,79;141806167,31;145741502,54;146661899,22;146503945,44;153345847,01;148400132,34;148190015,42;147435715,33;149225433,75;147310065,87;145821141,21;142022523,80;152150120,94;157213362,72;162161132,39;167308146,48;193669473,20;197744491,74;202414391,32;207449453,24;206682917,40;207186608,20;203042900,95;208675262,07;208209983,94;217617212,00;222080311,27;231298840,17;233163508,24;241012157,27;247534459,70;247351256,00;268211651,24;264527611,73;268564077,24;266696111,78;264590119,15;262017451,68;267807449,37;277550238,79;285940685,42;285338521,85;291424408,59;296861277,63;297405990,18;228285639,21;308413695,39;283496696,30;301531313,74;315748739,87;319564330,48;320964498,11;325841082,09;324960091,13;330457712,30;315264905,51;337905756,07;333493218,90;329072561,18;334722540,83;328784623,39;338233525,43;328926249,98;348137430,52;347980759,85;340799663,93;373970571,99;350603310,07;336556017,71;369193637,97;361730940,78;354456567,73;351567489,63;363552190,14;363718115,46;384206412,18;388466911,08;393203015,26;396601488,51;433779668,31;422475051,10;424247076,00;417099455,32;417939920,34;416343949,15;408103307,34;433804726,20;431577825,67;446665350,92;470386657,45;468077707,41;471160067,46;474162581,88;494309008,27;478119014,03;420869996,06;473566628,37;485776908,27;492239211,77;491943893,47;496007495,19;515795335,94;505970460,92;538822628,10;458384687,50;540120018,55;541896448,35;550007906,32;531989396,36;537451383,10;540983236,27;558915021,40;553582033,51;560852222,12;581349019,84;635454106,60;556745464,31;547203244,00;19250816,61;40525467221,71
".. Maranhão";17497969,35;17380481,32;17495343,17;17581679,25;17352135,28;17597339,27;17589577,45;17572783,01;17515990,30;17470761,56;17528912,48;17444214,68;17599061,47;17488410,20;17936349,43;18973659,15;19465679,05;19043144,11;21202090,23;21467051,67;21572911,67;23046465,78;21934528,61;22319219,23;21671813,50;22375515,06;22426656,53;23347923,40;24160554,37;24754953,08;25338460,43;27128372,97;27289396,09;26857989,43;29396113,45;30730026,11;33800914,06;32858897,42;28107934,98;23108802,91;28090175,44;30705672,92;28573139,76;29865725,09;31378666,76;31528326,89;31994660,62;16721563,89;32975055,52;30417762,72;31502989,52;33693859,40;32470955,13;33290152,44;33861920,61;35606559,41;35397622,19;34216842,28;35766986,89;35062323,79;34838656,29;37126492,38;36220425,39;37170417,60;35653604,62;40004723,41;39016216,77;36827432,90;41672987,39;38949586,22;38525232,61;39596803,45;39348619,86;37631987,35;37838029,93;40058776,79;39648712,19;41617503,95;42251872,42;42741679,86;42513919,59;48389452,05;45716017,22;44979341,53;45542809,98;44878750,15;44544734,04;42962697,20;47146722,64;48551365,07;50201609,45;51332226,00;52691015,96;49118748,11;52825063,89;54312113,55;52481609,79;45622762,88;50775779,61;52372768,56;53756888,71;54582944,65;55308657,12;57485384,48;56986901,61;62410298,57;51225557,88;63258079,99;62737655,71;60580667,68;61927428,63;61411562,93;63274142,34;65371504,44;63363590,89;66929095,61;67267311,02;71673361,43;66253765,17;65651992,73;3546837,34;4487253940,36
