 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Brasil
Valor despendido por Região/UF e Ano/Mês Compet
Tipo de Despesa: Campanha de Vacinação - Tríplice Viral, Campanha de vacinação, Campanha de vacinação anti-rábica, Campanha de vacinação do idoso, Vacinação Contra o Tétano Neonatal, Vacinação poliomielite
Período:Dez/1996-Dez/2006
"Região/UF";"2000/Ago";"2001/Abr";"2001/Mai";"2001/Jul";"2001/Out";"2002/Jan";"2002/Abr";"2002/Jun";"2003/Mar";"2003/Jun";"2003/Jul";"2003/Set";"2003/Out";"2004/Abr";"2004/Mai";"2004/Jul";"2004/Ago";"2004/Nov";"2005/Abr";"2005/Mai";"2005/Jul";"2005/Ago";"2005/Nov";"2006/Mai";"2006/Jul";"2006/Ago";"2006/Set";"Total"
"Região Norte";1281815,00;3303518,00;323128,00;1281815,00;1700328,90;2840621,95;3015464,03;3015464,02;1600872,40;3432166,00;1377103,20;82932,00;414496,59;1790225,56;2510388,48;3222427,93;1014788,60;1934992,00;700711,20;800921,00;3732928,00;-;1592366,62;811070,00;1235754,40;5023052,50;-;48039351,38
".. Rondônia";131771,00;323128,00;323128,00;131771,00;745378,30;414902,15;161968,93;161968,92;244305,40;327354,00;245955,20;-;165489,30;277148,80;166548,00;300596,00;268841,40;-;218602,40;78985,00;346130,00;-;279372,20;80232,00;183961,60;583825,20;-;6161362,80
".. Acre";43350,00;147968,00;-;43350,00;285382,60;186150,30;52779,85;52779,85;100671,60;82932,00;76407,20;82932,00;-;100315,52;82870,00;149899,00;94857,60;142422,00;94857,60;36475,00;175646,00;-;70179,20;37403,00;97309,60;173656,80;-;2410594,72
".. Amazonas";264125,00;737836,00;-;264125,00;669568,00;561987,50;497126,25;497126,25;496426,60;833564,00;26319,20;-;28574,00;576732,32;426197,00;769018,00;31239,20;801240,00;387251,20;157152,00;887418,00;-;31239,20;160906,00;387251,20;867147,20;-;10359569,12
".. Roraima";27316,00;78394,00;-;27316,00;-;58014,50;82842,75;82842,75;14435,00;97610,00;34960,00;-;46742,51;14849,00;48450,00;87909,00;34960,00;101992,00;-;15788,00;105426,00;-;32156,00;16264,00;-;144532,40;-;1152799,91
".. Pará";648524,00;1593312,00;-;648524,00;-;1280438,50;1792655,75;1792655,75;641430,80;1652850,00;792516,80;-;-;715751,92;1564743,48;1514461,93;367280,80;569400,00;-;397266,00;1753390,00;-;956987,22;404586,00;567232,00;2591959,18;-;22245966,13
".. Amapá";45872,00;132168,00;-;45872,00;-;98124,00;152858,00;152858,00;21785,00;151826,00;52769,60;-;40934,00;22522,00;75799,00;137365,00;58413,60;110952,00;-;24207,00;160798,00;-;57829,60;25061,00;-;220250,00;-;1788263,80
".. Tocantins";120857,00;290712,00;-;120857,00;-;241005,00;275232,50;275232,50;81818,00;286030,00;148175,20;-;132756,78;82906,00;145781,00;263179,00;159196,00;208986,00;-;91048,00;304120,00;-;164603,20;86618,00;-;441681,72;-;3920794,90
"Região Nordeste";3034355,50;4685631,30;-;3034355,50;1747744,85;5048398,17;4652060,94;4652060,89;3415800,30;4100626,80;3899417,50;765115,65;1085503,48;3938751,84;2366947,20;4267088,25;4077581,21;2972738,25;1791285,65;1917460,80;4821162,30;109480,50;4233592,90;1936935,00;2399504,45;9090196,97;-;84043796,20
".. Maranhão";301403,30;608974,20;-;301403,30;119641,15;537637,25;392116,38;392116,37;317867,15;646842,60;410165,25;-;-;635118,00;329373,30;586760,10;345176,15;495357,30;388319,80;195890,40;672061,50;-;557417,85;198256,50;641362,15;1256404,10;-;10329664,10
