TÉTANO ACIDENTAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Evolução e Ano 1º Sintoma(s)
Período:2007-2020
"Evolução";"<1975";"1991";"1994";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"Ign/Branco";-;1;1;1;32;40;37;51;39;31;29;38;34;21;36;22;36;44;493
"Cura";1;-;-;6;184;167;170;145;188;175;156;146;145;131;115;91;111;59;1990
"Óbito pelo agravo notificado";1;-;-;3;107;120;97;88;101;108;92;81;101;77;73;78;68;57;1252
"Óbito por outra causa";-;-;-;-;12;4;8;4;7;4;6;5;6;9;10;2;6;7;90
"Total";2;1;1;10;335;331;312;288;335;318;283;270;286;238;234;193;221;167;3825
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos no
  Para cálculo da incidência utilize locais de residência.
  Dados de 2008 atualizados em 27/03/2010.
  Dados de 2009 atualizados em 01/08/2011.
  Dados de 2010 atualizados em 19/12/2012.
  Dados de 2011 atualizados em 30/01/2014.
  Dados de 2012 atualizados em 22/06/2015.
  Dados de 2013 a 2016 atualizados em 01/02/2018.
  Dados de 2017 atualizados em 11/01/2019.
  Dados de 2018 atualizados em 28/01/2020.
  Dados de 2019 atualizados em 05/03/2021.
  Dados de 2020 atualizados em 05/03/2021, dados sujeitos à revisão.
  Dados de 2021 atualizados em 05/03/2021, dados sujeitos à revisão.
 *Dados disponibilizados no TABNET em abril/2021.
 
