TÉTANO ACIDENTAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Evolução e Faixa Etária
Período:2007-2020
"Evolução";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"Ign/Branco";6;1;7;16;19;112;187;43;30;53;19;493
"Cura";12;8;42;66;92;478;835;174;120;127;36;1990
"Óbito pelo agravo notificado";7;4;14;26;17;185;470;131;142;179;77;1252
"Óbito por outra causa";-;1;-;-;-;12;29;8;13;20;7;90
"Total";25;14;63;108;128;787;1521;356;305;379;139;3825
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos no
  Para cálculo da incidência utilize locais de residência.
  Dados de 2008 atualizados em 27/03/2010.
  Dados de 2009 atualizados em 01/08/2011.
  Dados de 2010 atualizados em 19/12/2012.
  Dados de 2011 atualizados em 30/01/2014.
  Dados de 2012 atualizados em 22/06/2015.
  Dados de 2013 a 2016 atualizados em 01/02/2018.
  Dados de 2017 atualizados em 11/01/2019.
  Dados de 2018 atualizados em 28/01/2020.
  Dados de 2019 atualizados em 05/03/2021.
  Dados de 2020 atualizados em 05/03/2021, dados sujeitos à revisão.
  Dados de 2021 atualizados em 05/03/2021, dados sujeitos à revisão.
 *Dados disponibilizados no TABNET em abril/2021.
 
