"Unidade da Federação";" Idade ignorada";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 2 anos";"1 a 4 anos";"1 a 11 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"5 anos e mais";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 29 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 12 a 49 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";"Sem discriminação de idade";"Ignorado";" Total"
"11 Rondônia";"1";"189293";"13288";"373464";"21176";"315311";"30514";"7196";"2290";"11202435";"3669244";"478787";"345957";"1082299";"387";"190";"62864";"46233";"101416";"99641";"64232";"17317";"4218";"689";"504";"563";"550";"9285";"3767617";"375198";"8921";"19594";"242191";"74547";"127665";"97990";"0";"154200";"34";"442824";"90659";"138";"366";"120128";"1538";"570083";"359533";"47";"4763";"12083";"67949";"16293";"431222";"135150";"1838819";"38026";"36";"228141";"333987";"823498";"164";"3377";"12";"989";"227753";"57180";"368737";"48125";"33553";"153110";"26972";"258185";"345795";"413941";"260143";"219195";"63247";"41968";"16352";"7620";"3021";"1036";"161150";"747795";"333566";"13701";"1327157";"494909";"25760";"782317";"26868";"815";"34987097"
"12 Acre";"42";"91048";"9497";"180438";"20873";"129734";"30837";"7087";"2817";"5545593";"1845732";"625292";"486282";"733071";"810";"301";"30440";"25741";"49107";"51359";"34480";"8533";"892";"67";"65";"56";"32";"8974";"1699447";"176226";"8646";"19137";"326073";"18807";"112512";"234110";"0";"290643";"2";"363276";"77557";"620";"1956";"33306";"157";"242902";"304243";"16";"214";"10538";"30743";"11589";"995839";"39376";"705559";"16486";"342";"100360";"148886";"262953";"14";"168";"2";"343";"70705";"17442";"148507";"14712";"7686";"40150";"5819";"84600";"164161";"130936";"113412";"100963";"27040";"18336";"8839";"4626";"1952";"210";"78271";"407948";"170319";"7331";"627544";"224408";"33639";"330100";"4501";"738";"18997143"
"13 Amazonas";"4";"535555";"54878";"856371";"111965";"592122";"149470";"37246";"16476";"26117946";"8879943";"2500145";"1697442";"3159470";"2598";"1492";"199025";"139158";"326847";"308766";"153247";"46258";"7939";"585";"605";"603";"625";"53419";"7750617";"922995";"50624";"111962";"1102450";"132265";"456955";"237685";"0";"506413";"21";"1013184";"280560";"730";"4001";"208216";"51415";"1319361";"406184";"336";"89011";"103470";"230995";"123684";"984121";"386839";"3142453";"210534";"231";"670125";"720997";"1138521";"262";"3317";"154";"903";"665817";"263399";"667774";"226425";"139820";"183189";"101641";"446137";"687745";"841547";"507000";"432669";"116857";"79080";"32877";"16098";"8083";"1204";"105903";"2284386";"409561";"13021";"3612248";"910643";"182617";"1422943";"6460";"2640";"82679575"
"14 Roraima";"3";"77689";"15531";"128976";"12897";"96436";"15880";"4174";"1643";"3699473";"1194561";"257554";"190563";"490864";"832";"238";"29196";"20453";"41103";"64280";"33415";"10668";"1489";"338";"203";"132";"163";"24278";"1191027";"97144";"23213";"54886";"132577";"38016";"87009";"53547";"0";"90913";"2";"222213";"59176";"372";"335";"64477";"898";"207838";"133627";"126";"1232";"35709";"70425";"44879";"301603";"128082";"722871";"82393";"130";"210791";"91995";"496361";"4";"443";"0";"309";"179889";"68818";"121300";"54658";"38572";"71029";"29386";"102957";"80433";"154143";"53791";"47024";"12784";"8355";"3397";"1692";"770";"293";"36421";"243148";"99816";"4280";"596275";"184877";"80552";"227792";"2746";"708";"13563561"
"15 Pará";"64";"784781";"53637";"1487602";"183273";"1087289";"274439";"57324";"23489";"50695936";"16626432";"4854068";"3505492";"6632757";"4932";"2763";"283759";"217850";"444718";"615729";"306058";"87482";"13080";"1831";"1255";"1200";"1164";"30067";"19765882";"1848704";"47529";"35223";"1597362";"172547";"907654";"729145";"0";"229469";"19";"1376106";"826646";"620";"6892";"280204";"2825";"2264607";"1284256";"358";"6254";"284341";"233197";"292244";"2233816";"609527";"5665862";"408116";"388";"1283256";"1469883";"1963316";"1782";"7251";"62";"4249";"1051831";"412827";"1385347";"373424";"112732";"244650";"89504";"681730";"1690207";"1503328";"1467018";"1130964";"309530";"211148";"89879";"45419";"22342";"1162";"930493";"3895230";"2587949";"43";"6638857";"1572757";"222557";"2387488";"58012";"5113";"163239604"
"16 Amapá";"1";"104831";"5685";"174331";"20990";"118659";"30131";"8240";"3979";"5044576";"1592481";"374630";"240998";"484092";"1088";"595";"32766";"25192";"51735";"54234";"35269";"11784";"1356";"75";"91";"86";"88";"6301";"1489383";"147291";"5082";"10060";"130314";"14539";"67963";"70693";"0";"43870";"1";"139738";"44920";"87";"363";"29770";"40";"151469";"127262";"0";"38";"13426";"24255";"16609";"190053";"47124";"489916";"26291";"20";"98694";"135162";"224385";"8";"426";"0";"222";"72610";"20735";"130939";"16278";"7226";"34908";"5632";"55699";"111763";"107100";"88746";"64694";"17284";"11921";"4715";"1882";"2553";"262";"45057";"423771";"75409";"5581";"421559";"106064";"17197";"231161";"1581";"1440";"14247525"
"17 Tocantins";"2";"169148";"8555";"328149";"18321";"264347";"40451";"7856";"2632";"9077423";"2959742";"531347";"377777";"1065030";"264";"243";"72299";"43510";"99958";"146569";"69715";"19955";"3226";"580";"314";"327";"297";"11274";"3130919";"335714";"9699";"20054";"271196";"33398";"127864";"169558";"0";"36424";"4";"432392";"162239";"869";"475";"55670";"1075";"521037";"519440";"10";"1936";"73102";"44601";"73802";"428092";"139322";"1575135";"117292";"82";"256232";"261316";"530136";"4";"1752";"0";"661";"246760";"114121";"304695";"99167";"45303";"98871";"41136";"197403";"310019";"390395";"292821";"330660";"66757";"46367";"21341";"8906";"4705";"173";"63056";"632461";"169460";"7391";"1499387";"491412";"111964";"767187";"10544";"400";"31023675"
"21 Maranhão";"277";"719100";"39894";"1383360";"201718";"1002412";"249804";"46060";"18581";"43438966";"15563163";"5140850";"3788681";"6259909";"5145";"2745";"300828";"209870";"464971";"558997";"312219";"78578";"9738";"859";"579";"414";"550";"14913";"16124428";"2310";"37466";"20271";"1996741";"143742";"939599";"800696";"1";"140440";"53";"2165998";"355982";"2541";"25395";"231521";"3937";"2099993";"1291437";"449";"559540";"171042";"169291";"160369";"2589074";"420582";"4568991";"211403";"1251";"1079447";"1187566";"1490511";"80";"3382";"8";"4742";"819514";"183658";"1228121";"159513";"91580";"358187";"74310";"672749";"1883970";"1409657";"1565596";"1321971";"391818";"273489";"137365";"67904";"34177";"3821";"952174";"4039786";"1644605";"951";"4285657";"1512141";"165666";"1699964";"92855";"5588";"143890247"
"22 Piauí";"4";"297360";"13610";"611761";"39979";"510885";"66048";"12102";"4241";"18684359";"5950798";"864937";"617221";"1718286";"1467";"733";"120222";"84583";"184885";"236047";"119233";"34248";"5176";"552";"414";"386";"373";"2247";"7950035";"276";"10467";"3707";"357874";"48484";"236792";"389878";"0";"738583";"11";"396336";"129319";"466";"1100";"87043";"2237";"434873";"438839";"119";"6608";"112347";"44227";"116126";"696352";"177778";"1233555";"170443";"213";"518019";"583105";"640588";"68";"3055";"4";"4607";"462860";"164501";"620373";"144234";"47365";"155871";"36530";"273366";"888071";"722545";"875215";"983798";"187678";"135524";"62040";"31417";"15459";"417";"289924";"1432957";"411117";"14462";"1777558";"605904";"158860";"772978";"16511";"1646";"57004872"
"23 Ceará";"1214";"830471";"68138";"1816528";"101718";"1619819";"133665";"27614";"8287";"50651690";"18040904";"2575352";"1743714";"4872382";"4163";"1410";"390517";"259483";"596367";"725253";"408138";"103996";"17023";"4557";"4010";"4128";"3564";"6150";"20125006";"0";"73485";"6342";"1047388";"180726";"273772";"888503";"1";"106120";"33";"1816556";"606955";"2274";"2623";"243744";"5536";"180658";"1491764";"671";"14441";"270824";"202676";"312052";"2142944";"189771";"951066";"480810";"534";"1749258";"1617428";"1959370";"2060";"23438";"938";"18933";"1605876";"538378";"1952892";"427157";"230103";"776096";"194920";"864374";"2792659";"1323987";"2440025";"1702479";"475955";"339814";"171508";"79268";"42298";"2838";"640427";"4183721";"1128781";"4528";"4628627";"1823509";"349601";"2128228";"28919";"1784";"152887707"
