"Unidade da Federação";"BCG (BCG)";"BCG - Hanseníase (BCG)";"Febre Amarela (FA)";"Febre Tifóide (FT)";"Haemophilus influenzae tipo b (Hib)";"Hepatite A (HA)";"Hepatite B (HB)";"Hepatite B não soroconversão";"Influenza (INF)";"Influenza (Campanha) (INF)";"Influenza (Gestantes) (INF)";"Meningococo A/C (MnAC)";"Meningococo B/C (MnBC)";"Raiva Humana";"Raiva - Cultivo Celular/Diplóide (RC)";"Raiva - Cultivo Celular/Vero (RV)";"Raiva - Cultivo Celular/Embrionário (RG)";"Rubéola";"Sarampo";"Varicela";"Dupla Adulto (dT)";"Dupla Infantil (DT)";"Dupla Viral (rotina) (SR)";"Dupla Viral (mulheres idade fértil) (SR)";"Dupla Viral (mulheres idade fértil campanha) (SR)";"Dupla Viral (homens) (SR)";"Dupla Viral (homens campanha) (SR)";"Hexavalente (HX)";"Poliomielite inativada (VIP)";"Meningocócica Conjugada - C (MncC)";"Oral Poliomielite (VOP)";"Oral Poliomielite 1ª etapa campanha  (VOP)";"Oral Poliomielite 2ª etapa campanha  (VOP)";"Oral de Rotavírus Humano (VORH)";"Pentavalente (DTP+HB+Hib) (PENTA)";"Pneumocócica 10valente";"Pneumocócica Conjugada 7 Valente (Pnc7)";"Pneumocócica Polissacarídica 23 Valente (Pn23)";"Pneumocócica 13 valente";"Tetravalente (DTP/Hib) (TETRA)";"Toxóide Tetânico";"Tríplice Acelular (DTPa)";"Tríplice Bacteriana (DTP)";"Tríplice Viral (SCR)";"Tríplice Viral (campanha) (SCR)";"Tríplice Viral (homens campanha) (SCR)";"Tríplice Viral (implantação) (SRC)";"Tríplice Viral (mulheres idade fértil camp) (SCR)";"Tríplice Viral (seguimento) (SRC)";"Imunoglobulina humana anti-Hepatite B (IGHAHB)";"Imunoglobulina humana anti-Rábica (IGHR)";"Imunoglobulina humana anti-Tetânica (IGHAT)";"Imunoglobulina humana anti-Varicela Zóster (IGHVZ";"Soro anti-Aracnídico (AC)";"Soro anti-Botrópico (BO)";"Soro anti-Botrópico-Crotálico (BC)";"Soro anti-Botrópico-Laquético (BL)";"Soro anti-Botulínico (BTU)";"Soro anti-Crotálico (CR)";"Soro anti-Diftérico (SAD)";"Soro anti-Elapídico (LP)";"Soro anti-Escorpiônico (ES)";"Soro anti-Laquético";"Soro anti-Latrodectus (LT)";"Soro anti-Lonomia (LN)";"Soro anti-Loxocélico (LX)";"Soro anti-Rábico (RB)";"Soro anti-Tetânico (SAT)";"Esq.Seq. VIP/VOP";"Penta inativada (DTPa/Hib/Vip)";"Tetraviral (sarampo, rubéola, caxumbae varicela)";"HPV Quadrivalente - Feminino";"HPV Quadrivalente - Masculino";"HEPATITE A, B RECOMBINANTE";"Rotavírus pentavalente";"Quadrupla viral";"Meningocócica ACYW1325";"HPV";"dTpa";"Ignorado";" Total"
"11 Rondônia";"980616";"32991";"3786999";"104";"279199";"174446";"4033182";"20974";"263146";"977142";"21728";"432";"4";"288049";"567";"263748";"704";"13701";"633573";"87564";"3701730";"658";"59947";"40684";"271811";"7730";"255827";"1988";"405704";"902871";"2752626";"2474237";"2459767";"754726";"722787";"1005396";"1601";"31905";"3655";"902527";"782746";"40530";"2177924";"1492002";"128326";"1704";"375198";"1798";"0";"3075";"2024";"887";"441";"1606";"23600";"1968";"6427";"122";"915";"327";"394";"2118";"22";"3";"150";"22";"22215";"10498";"402793";"567";"159176";"288591";"83279";"52";"1982";"11";"2147";"7612";"112617";"234182";"34987097"
"12 Acre";"584490";"5890";"1664885";"563";"100638";"88790";"3199672";"3566";"198526";"459716";"9325";"318";"52";"31804";"501";"51725";"428";"7331";"395781";"48406";"1778757";"525";"18709";"45832";"122435";"9308";"105250";"1419";"250867";"439126";"1861005";"1286558";"1291185";"378296";"369453";"472234";"3566";"31468";"1013";"525241";"441930";"11510";"1114766";"764578";"54164";"1848";"176226";"1899";"3483";"4544";"222";"213";"375";"229";"5263";"756";"3122";"9";"154";"21";"17";"521";"83";"0";"0";"0";"2557";"4311";"115112";"508";"75739";"149763";"31057";"28";"703";"0";"827";"6176";"49497";"130278";"18997143"
"13 Amazonas";"2755749";"10912";"8315443";"401";"610328";"477966";"8255534";"11727";"1242805";"1982862";"57417";"4461";"813674";"68204";"933";"238124";"481";"13278";"1372135";"383053";"8737244";"10017";"159735";"184313";"585962";"64379";"491529";"5610";"1139364";"2372703";"7275730";"5468868";"5049391";"1784195";"1919374";"2453937";"8254";"182598";"10364";"2273634";"1053026";"103650";"5157997";"5011378";"226363";"16668";"922995";"16921";"4513";"5109";"342";"2732";"1119";"1601";"43154";"690";"31714";"38";"266";"69";"283";"2952";"22";"7";"30";"0";"7223";"1049";"861433";"1609";"412947";"688166";"283292";"313";"5553";"0";"4860";"143796";"278477";"594530";"82679575"
"14 Roraima";"390910";"3360";"1483957";"107";"89352";"72552";"1797888";"4344";"350288";"246614";"7982";"324";"0";"24301";"13";"76175";"437";"4286";"217551";"90722";"1353490";"87";"28937";"83778";"56155";"3725";"52604";"382";"153067";"344626";"972830";"853639";"778613";"264160";"278627";"366783";"1243";"86187";"220";"300466";"252236";"12470";"695229";"1074419";"35605";"11134";"97144";"11277";"0";"420";"347";"41";"799";"418";"8561";"3085";"4261";"73";"2941";"66";"376";"472";"1";"47";"33";"18";"1295";"943";"161433";"305";"68225";"124095";"35543";"96";"156";"0";"22";"2616";"41594";"74983";"13563561"
"15 Pará";"5743588";"76834";"14696858";"598";"1530877";"698882";"16650288";"18026";"867031";"5089465";"99538";"7639";"1887";"384677";"172";"861862";"914";"43";"3464050";"268368";"17535270";"2961";"190469";"1764425";"1203654";"89470";"1158461";"7656";"2004329";"3613060";"16385745";"12724171";"12705068";"3144488";"2949385";"3861542";"16001";"86577";"13322";"4800959";"2421703";"90502";"10415566";"7749003";"599704";"18465";"1848704";"15977";"0";"3947";"5531";"556";"2169";"6824";"177941";"6355";"30738";"974";"3109";"455";"630";"26427";"46";"121";"71";"10";"59985";"6178";"1013886";"563";"587889";"1351464";"358888";"238";"2472";"0";"3137";"24608";"443516";"1242642";"163239604"
"16 Amapá";"505119";"3269";"1212452";"0";"153106";"84380";"1692802";"978";"72630";"330548";"10311";"38";"0";"29383";"348";"54179";"324";"5581";"232220";"42154";"1263104";"26";"14994";"69993";"108126";"1511";"99386";"254";"193077";"414072";"1312774";"1071322";"932830";"362222";"347880";"452139";"1031";"8922";"287";"484828";"185448";"14931";"919530";"676757";"56465";"48";"147291";"42";"0";"477";"1053";"382";"483";"1534";"24025";"2899";"7344";"219";"501";"318";"53";"5822";"26";"15";"112";"31";"6271";"1566";"185451";"34";"82120";"157672";"35758";"98";"268";"0";"263";"1528";"46557";"115533";"14247525"
"17 Tocantins";"1022304";"16001";"3221548";"170";"237502";"147494";"3589049";"6937";"266326";"1031485";"23255";"135";"4";"106882";"680";"139669";"295";"7391";"462512";"89601";"3507708";"519";"42581";"307299";"216671";"6564";"208573";"119";"413054";"800086";"2440466";"2065556";"1962704";"671321";"621497";"891737";"2891";"26544";"58";"812020";"695303";"25609";"1671362";"1755183";"113896";"618";"335714";"510";"0";"607";"681";"183";"221";"1069";"22069";"2647";"1130";"93";"4944";"107";"250";"3300";"17";"4";"31";"2";"6661";"2966";"184142";"33";"136142";"277643";"97676";"46";"28";"0";"44";"4552";"106291";"204693";"31023675"
"21 Maranhão";"5281462";"128956";"13554725";"606";"1023958";"589875";"15287614";"44161";"482645";"5682598";"86545";"43763";"281";"386876";"4478";"732419";"2092";"2670";"2713960";"515659";"13637088";"10926";"97088";"414425";"918946";"81452";"853422";"3150";"1560441";"3296077";"14803076";"10308790";"10493819";"2943742";"2655180";"3495862";"7902";"51974";"10324";"4254623";"2895260";"144097";"9909609";"7783315";"542615";"647936";"2310";"682066";"978";"5350";"5718";"1493";"1073";"1641";"36199";"5408";"2362";"1014";"15459";"128";"634";"4496";"16";"33";"27";"48";"25397";"26003";"1295753";"1973";"269076";"1310831";"359327";"1681";"4166";"23";"609";"17668";"373403";"1051402";"143890247"
"22 Piauí";"1844383";"24086";"3546739";"481";"554077";"260600";"5486657";"12000";"609460";"2966504";"37641";"2293";"230";"215012";"20";"323650";"656";"14462";"720513";"266067";"5157147";"4419";"150325";"860452";"499322";"24457";"440739";"1311";"667683";"1435105";"4939412";"5068682";"5567480";"1256467";"1053002";"1550011";"2684";"26145";"912";"1644157";"1000855";"43932";"3676580";"2781327";"237559";"3031";"276";"3146";"236819";"5557";"3567";"1591";"1103";"1210";"5181";"2935";"148";"40";"3755";"70";"456";"6573";"0";"3";"3";"9";"9636";"5154";"381846";"217";"85971";"513116";"159115";"45";"656";"0";"896";"13940";"158301";"424810";"57004872"
"23 Ceará";"5304067";"75854";"1638112";"471";"1433408";"840694";"16371350";"92322";"832338";"8142942";"104778";"9313";"9645";"425762";"12340";"1098014";"3537";"4528";"2871632";"903457";"13366706";"38272";"1929635";"926567";"1396388";"165030";"1188622";"22889";"2057449";"4579206";"15310087";"12200312";"12490548";"3712003";"3413321";"4734056";"1772";"43161";"53834";"4427860";"3148676";"192043";"10578804";"9279766";"665603";"26407";"0";"30613";"647103";"885";"12876";"4113";"486";"466";"11526";"3718";"1144";"18";"1816";"717";"420";"1963";"7";"0";"0";"119";"47828";"5125";"1758202";"16749";"346123";"1718798";"463357";"627";"31623";"35";"3639";"30743";"506272";"1117015";"152887707"
"24 Rio Grande do Norte";"1539298";"11880";"374250";"466";"409268";"258523";"5745638";"28763";"230612";"3006260";"40341";"1314";"60";"97946";"231";"195772";"2073";"574254";"844432";"235229";"5220035";"12312";"74986";"64883";"494232";"2886";"444092";"9813";"597267";"1376961";"4300908";"4797102";"4316963";"1201955";"1042211";"1563736";"6402";"28550";"12372";"1596394";"1026874";"55774";"3261931";"2776964";"216243";"244556";"370";"264279";"238315";"1762";"4744";"2908";"1302";"387";"11033";"4330";"678";"144";"2124";"205";"231";"566";"29";"144";"23";"3";"11409";"15102";"563004";"3309";"108228";"481855";"127166";"561";"4633";"43";"3139";"9622";"154163";"397452";"50756275"
"25 Paraíba";"1933197";"18938";"273134";"47";"522315";"323790";"6816456";"14221";"274505";"4045534";"34319";"530";"485";"282482";"88";"237881";"712";"6011";"924434";"345913";"6054690";"754";"98455";"186635";"597461";"28546";"524336";"2819";"870570";"1731140";"6899308";"5041906";"5251669";"1578331";"1372992";"1978495";"5589";"28011";"3164";"2002030";"961399";"62169";"4123054";"4458590";"273475";"23019";"0";"24996";"0";"890";"3373";"15758";"437";"385";"9910";"3276";"298";"85";"1997";"654";"656";"1811";"15";"5";"15";"0";"28633";"98834";"591836";"802";"118705";"658176";"195837";"51";"1800";"0";"2203";"9300";"192418";"494659";"62671414"
"26 Pernambuco";"6648563";"63221";"2036902";"335";"1339695";"817784";"17770478";"86283";"882821";"8702633";"104776";"5760";"7574";"1100220";"11053";"1600495";"6337";"45802";"4817684";"809773";"20076876";"2171";"237956";"327480";"1494982";"40851";"1313325";"7802";"1735326";"4462173";"16190262";"14875665";"14188377";"3881685";"3386503";"5020559";"2244";"155319";"15035";"4916167";"1549041";"234672";"11722829";"9307423";"653562";"13878";"2022623";"15096";"557";"1713";"15988";"13933";"607";"469";"16555";"5314";"1447";"446";"5352";"631";"1415";"2177";"0";"0";"0";"0";"66396";"42744";"2099412";"2856";"345399";"1709157";"445505";"527";"5460";"15";"7545";"21028";"508944";"1242650";"171272313"
"27 Alagoas";"2286606";"9865";"291592";"993";"574517";"310916";"6757662";"16045";"208804";"2516320";"41084";"1971";"3178";"272910";"1042";"351720";"2606";"5531";"870223";"310602";"6871711";"2240";"79209";"75541";"495991";"3103";"443161";"7672";"694984";"1603884";"5330567";"5442508";"5034506";"1353841";"1268810";"1747497";"359";"24653";"10603";"1885598";"1106935";"62851";"3742059";"5343845";"255279";"21760";"1428102";"23253";"0";"4205";"5198";"4811";"304";"510";"5638";"1222";"873";"8";"1571";"386";"1311";"3292";"0";"19";"81";"114";"21202";"32457";"693424";"2130";"130512";"641844";"161736";"832";"6151";"348";"3145";"12033";"171113";"479669";"61580848"
"28 Sergipe";"1137494";"8483";"484517";"90";"374121";"193558";"4508023";"5019";"133348";"1710026";"33489";"158";"0";"88166";"124";"134480";"532";"0";"580206";"204093";"3852353";"105";"16663";"370400";"363415";"609";"309309";"2013";"462114";"1065250";"3377613";"3536078";"3422320";"940552";"785493";"1204452";"3095";"26424";"2221";"1154258";"401292";"42128";"2390863";"2397563";"160997";"0";"0";"0";"1227";"2820";"1134";"10269";"295";"605";"7599";"2033";"655";"70";"1327";"70";"667";"2773";"0";"0";"23";"0";"17442";"132616";"356597";"592";"73239";"375186";"115379";"47";"1463";"0";"1806";"4224";"118518";"288083";"37400266"
"29 Bahia";"7463446";"46871";"18165963";"1036";"2185879";"1121003";"27053901";"87835";"1889138";"12737150";"177772";"17492";"45183";"518767";"7161";"1331540";"6674";"4863";"3637032";"1102382";"27070400";"27083";"733779";"3543066";"2702088";"181893";"2450742";"13016";"2585754";"7291613";"25995751";"22014083";"19760248";"5191662";"4433345";"6538249";"19857";"173841";"11390";"7470393";"5096299";"261486";"17645756";"14835453";"1063491";"12652";"0";"13038";"1502925";"7470";"13965";"3347";"1619";"1718";"35927";"2401";"1218";"231";"4339";"361";"590";"18882";"3";"31";"155";"177";"30872";"14292";"2458494";"8920";"463403";"2112000";"626873";"899";"5580";"9";"4850";"73138";"660250";"1881559";"264674014"
"31 Minas Gerais";"9702116";"53525";"40294729";"5080";"2757222";"1822279";"34366423";"59565";"4678360";"20533237";"212552";"67742";"4619";"926117";"2381";"1770680";"7742";"28294";"3582042";"2101778";"33389416";"11503";"433261";"396199";"3028399";"42893";"2883126";"60438";"4244974";"9905822";"25611020";"25528849";"23282646";"7332614";"6397268";"9679874";"89616";"567833";"74607";"8537252";"217577";"384426";"17795618";"18883753";"1285063";"1640659";"0";"1721179";"1350422";"19229";"10016";"8343";"2481";"13532";"80494";"5419";"1081";"193";"25909";"223";"832";"51372";"20";"54";"60";"194";"50079";"10401";"2112490";"7063";"475390";"3252786";"1147975";"1503";"28511";"105";"46413";"86129";"1133606";"2181895";"338506588"
"32 Espírito Santo";"1616670";"23430";"4832113";"1179";"451538";"392379";"7824558";"41821";"718855";"3277407";"37823";"1400";"229";"181287";"1818";"269612";"637";"18";"1531541";"453065";"7877437";"1126";"90749";"111957";"591220";"9554";"560838";"23788";"772619";"1852761";"4976270";"5165425";"4876997";"1489163";"1348492";"2019461";"20101";"139071";"38730";"1709874";"629606";"101322";"3836931";"3892660";"244036";"355";"97";"384";"242901";"2885";"1711";"316";"1190";"1623";"59972";"2372";"299";"240";"216";"45";"36";"14759";"0";"1";"13";"10";"24767";"1928";"656090";"8072";"122928";"659219";"227457";"4634";"13603";"999";"17747";"8115";"210278";"434546";"66757376"
"33 Rio de Janeiro";"9163670";"50512";"12109652";"7240";"2457993";"1397323";"26131309";"83765";"1884098";"17649471";"118461";"117262";"9466";"1178762";"954";"1756810";"5711";"717";"2377365";"1258370";"30098038";"6838";"1013477";"775282";"2269159";"47655";"2082628";"52741";"2784412";"6714832";"19525742";"18268059";"17196551";"5735432";"5242539";"7161994";"70932";"309091";"105210";"6802833";"621561";"300363";"14824233";"13148020";"886003";"1202632";"40441";"1284222";"919059";"66769";"10296";"15130";"16037";"4941";"26987";"1405";"600";"173";"1012";"424";"471";"4416";"0";"2";"109";"20";"79081";"17062";"2839149";"17198";"544141";"2369729";"612659";"8221";"42407";"6105";"21229";"24697";"697816";"1753952";"246431128"
"35 São Paulo";"17177494";"65572";"33579078";"93055";"6770791";"4892219";"78552812";"196844";"13300207";"39502774";"637229";"397135";"10846";"732690";"321385";"2655233";"12640";"4513";"5664636";"5335831";"72701531";"15547";"374931";"3362078";"6733101";"56803";"6438671";"375682";"8844197";"21029285";"55340722";"49236632";"48629127";"16521686";"14712685";"21851745";"675065";"2324552";"819134";"18509396";"83076";"1860370";"36892159";"46467167";"2544723";"22837";"15561";"20744";"2338471";"58868";"24881";"37396";"16647";"11294";"60141";"5411";"890";"443";"14264";"731";"1414";"14343";"5";"11";"221";"46";"178279";"38285";"7634244";"150433";"1683871";"6691579";"2062098";"57175";"318022";"39499";"170509";"186477";"2029153";"4763853";"674951145"
"41 Paraná";"4468113";"27835";"16076598";"1460";"1578552";"1092556";"21299007";"40259";"3075717";"10086938";"122471";"6866";"8590";"417054";"650";"954683";"2949";"1044307";"1685445";"689647";"20045268";"3067";"123929";"217574";"1651689";"45390";"1569540";"80172";"2526925";"5477375";"13634014";"13386295";"11794048";"4216524";"3828830";"5590132";"60429";"271518";"120265";"4763767";"354010";"217609";"10054498";"10153415";"648436";"3401";"0";"3654";"34146";"10562";"3452";"15381";"2595";"8216";"26471";"1237";"122";"132";"6240";"225";"148";"1099";"0";"0";"1010";"5025";"20536";"16307";"1224290";"17474";"868122";"1818809";"753760";"2171";"57001";"2017";"57236";"47925";"627661";"1231071";"180381912"
"42 Santa Catarina";"2550752";"8942";"5496602";"1337";"789888";"706798";"12272719";"66740";"3046211";"5713394";"92779";"2301";"276";"114610";"489";"187285";"516";"12127";"1425910";"447097";"12847678";"650";"128364";"1212852";"982964";"6448";"980014";"63902";"1450351";"3229241";"8098621";"7609158";"7262144";"2544278";"2338955";"3465782";"63545";"263643";"72216";"2613097";"992860";"173721";"6905653";"6431953";"369292";"1029";"0";"1256";"382775";"11342";"3181";"11444";"2894";"12143";"21028";"1079";"97";"96";"204";"139";"338";"527";"0";"12";"2338";"5376";"18924";"14826";"931610";"10269";"549235";"1058348";"386341";"1405";"25273";"16";"37100";"33433";"381905";"682390";"107632528"
"43 Rio Grande do Sul";"5642814";"14930";"8652688";"3241";"1200022";"941294";"16617825";"33445";"3850304";"12885452";"84126";"4581";"1603";"196785";"4664";"499084";"1788";"1762";"1787423";"535269";"15657232";"1242";"396346";"1329728";"1640971";"42080";"1501220";"57185";"2244167";"4447487";"12617373";"14431603";"13682471";"3630778";"3390061";"4708205";"49252";"238564";"73478";"4216830";"1116551";"183954";"9533582";"7498408";"643734";"14184";"0";"15813";"679658";"6187";"5819";"1573";"3313";"11363";"60344";"2464";"372";"1949";"505";"298";"186";"78";"0";"10";"2016";"3665";"8863";"8056";"1091326";"12934";"769539";"1477206";"464955";"3549";"34893";"2277";"29901";"37001";"509350";"1073227";"162624476"
