"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";" Total"
"BCG (BCG)";"2176263";"4503836";"4577037";"5552032";"5200963";"5477080";"5197502";"5327006";"5149288";"5094667";"394374";"389080";"419263";"415388";"397792";"442412";"401266";"444825";"408830";"364822";"380040";"344851";"392263";"384404";"422016";"428333";"431364";"482526";"418364";"480553";"419179";"395821";"393960";"361600";"407407";"381391";"414829";"393390";"383739";"336644";"301504";"309936";"296433";"288708";"282430";"264269";"295320";"280811";"306620";"303116";"303916";"303431";"286606";"293365";"272321";"271526";"263563";"244352";"278259";"271473";"276493";"292221";"285532";"286980";"273708";"269963";"276597";"263296";"260727";"246799";"278655";"261168";"290531";"306283";"271090";"272046";"266626";"261848";"271573";"253530";"254606";"234278";"268069";"255184";"281123";"268290";"265236";"265162";"261914";"259486";"260466";"249620";"247302";"236761";"265389";"262097";"276867";"278054";"283623";"275139";"266516";"266641";"243579";"244537";"250324";"239610";"260917";"257044";"277979";"272036";"269349";"260823";"255242";"261425";"243084";"250830";"248124";"223509";"269626";"265890";"257031";"267665";"254722";"255055";"262316";"254229";"268850";"242739";"234449";"221410";"276443";"256081";"257302";"276110";"269538";"264067";"269759";"259900";"260210";"247490";"236234";"233439";"277073";"252490";"262486";"269981";"263585";"267427";"263982";"289085";"247070";"229323";"223919";"211548";"257011";"251662";"262869";"254783";"254567";"253555";"232947";"238886";"262577";"204500";"203346";"192470";"233917";"215890";"272003";"246013";"276764";"259379";"249458";"254336";"261146";"234209";"231211";"219039";"260983";"217605";"256302";"259179";"269212";"263274";"240430";"244161";"221982";"232754";"217314";"198099";"249296";"217236";"229522";"229675";"234183";"209102";"213323";"205334";"209508";"200673";"190103";"166367";"101886939"
"BCG - Hanseníase (BCG)";"32167";"56908";"56707";"83949";"90484";"101455";"101849";"26893";"1124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6898";"6645";"7465";"7486";"8000";"7214";"8264";"10848";"8877";"9424";"8822";"7386";"6814";"9554";"6514";"6853";"7434";"7265";"7091";"7331";"8580";"7599";"8009";"6460";"5395";"5480";"4794";"4098";"3680";"4933";"6540";"4183";"3880";"3863";"3777";"3893";"3762";"2535";"3834";"2630";"2631";"2567";"2727";"3124";"2526";"3138";"2899";"3052";"3061";"2359";"2787";"1949";"1755";"3840";"2468";"2700";"1482";"2053";"1667";"3232";"2914";"2212";"1942";"2239";"1987";"2105";"1674";"1488";"2039";"2087";"2026";"1070";"1811";"2054";"2128";"1060";"1484";"1107";"1710";"1817";"1450";"1289";"1467";"869";"899692"
"Febre Amarela (FA)";"1540553";"2327064";"2013918";"2539660";"11885236";"16125871";"22367455";"13693626";"4435823";"5227862";"252535";"281283";"339375";"554252";"420708";"487216";"300287";"408309";"336128";"268857";"362797";"297104";"283872";"303054";"431653";"442404";"623094";"492279";"309733";"481911";"373620";"316692";"332125";"322460";"326836";"308421";"331121";"375626";"490574";"443205";"347229";"361716";"327545";"281509";"328186";"335599";"417071";"408198";"378324";"455626";"561395";"505839";"415619";"422226";"405579";"403159";"397247";"591851";"8295394";"2315866";"1092525";"1044556";"605617";"749936";"562179";"662948";"561387";"336375";"350279";"590392";"1054380";"732115";"856147";"2500677";"1919412";"734629";"456494";"415135";"475559";"412042";"436403";"424245";"629269";"553432";"590719";"854040";"844514";"670463";"518539";"531520";"411441";"359387";"394950";"354045";"409697";"448342";"521827";"670595";"796316";"592174";"529428";"632372";"550971";"566011";"516803";"456532";"484975";"445789";"510569";"440608";"659108";"537730";"478779";"598668";"419094";"418120";"369776";"301451";"388734";"371976";"440682";"626162";"513667";"508095";"480976";"541589";"542131";"444067";"379041";"313485";"416969";"397118";"452662";"491109";"469973";"370449";"411170";"404948";"433190";"390049";"328119";"273411";"369405";"341499";"485238";"413270";"517744";"461745";"432926";"967437";"480740";"414353";"400714";"320784";"439201";"394161";"409598";"453712";"460706";"411888";"379427";"409086";"1652298";"509630";"405619";"330618";"3724041";"4143381";"6301398";"2765197";"1491298";"821105";"628062";"491771";"724405";"1048542";"1026616";"1437060";"6691328";"1737905";"1143449";"663944";"458932";"407929";"488127";"471858";"411442";"723425";"688199";"591463";"683768";"1257133";"988445";"1051222";"680495";"463939";"530961";"516501";"444275";"570407";"545931";"319494";"216836282"
"Febre Tifóide (FT)";"0";"40";"0";"20";"10507";"3536";"4498";"3643";"5396";"7480";"356";"1201";"310";"8";"12";"21";"175";"788";"453";"523";"1695";"249";"390";"207";"592";"976";"502";"335";"415";"1035";"3264";"1022";"4388";"1187";"392";"402";"789";"773";"725";"716";"711";"1281";"921";"554";"888";"827";"587";"577";"1081";"1500";"530";"491";"799";"675";"753";"973";"1196";"612";"832";"987";"835";"415";"200";"386";"363";"1217";"816";"928";"857";"594";"388";"366";"303";"211";"321";"262";"352";"308";"291";"621";"1791";"792";"885";"883";"340";"376";"356";"416";"415";"391";"240";"637";"751";"517";"470";"520";"529";"268";"283";"375";"288";"582";"1304";"527";"754";"583";"826";"301";"1221";"829";"482";"391";"328";"441";"470";"340";"330";"382";"298";"364";"272";"231";"216";"303";"208";"385";"236";"105";"49";"71";"33";"240";"257";"232";"408";"192";"213";"392";"342";"210";"442";"446";"309";"278";"358";"304";"323";"262";"270";"212";"219";"197";"216";"317";"240";"436";"420";"314";"204";"262";"409";"364";"474";"478";"358";"548";"567";"374";"446";"385";"139";"112";"168";"343";"501";"172";"356";"332";"288";"242";"251";"180";"191";"280";"111";"191";"135";"132";"258";"224";"35";"51";"27";"21";"44";"20";"20";"16";"51";"22";"41";"15";"128102"
"Haemophilus influenzae tipo b (Hib)";"167";"663";"1606";"3403";"158077";"1703461";"10368486";"11393605";"4172061";"678352";"36155";"42371";"40967";"49644";"42467";"46119";"23938";"16717";"17015";"14431";"7930";"6597";"7772";"7170";"7494";"7617";"8019";"8701";"8271";"8287";"6976";"7601";"6992";"7030";"7939";"6841";"6981";"6140";"8640";"7836";"7054";"8194";"6394";"8004";"6057";"6367";"6543";"6708";"7030";"6097";"6899";"21879";"6324";"6921";"5647";"5250";"5946";"5740";"6515";"6256";"5806";"6289";"7267";"6392";"6299";"6767";"6339";"6408";"6044";"6415";"7437";"7191";"5709";"5437";"5728";"6411";"8175";"8833";"8117";"7501";"8287";"7174";"6697";"7447";"7714";"6506";"7094";"6912";"7236";"7457";"5935";"5356";"5056";"5611";"5804";"7192";"7166";"7630";"8483";"8425";"8772";"8921";"7351";"8035";"7774";"8168";"9176";"7197";"9048";"8551";"7139";"8097";"9080";"10425";"8804";"9403";"10147";"9023";"10328";"12874";"10025";"9208";"9566";"9937";"7678";"5809";"4969";"4701";"5244";"3374";"3759";"3214";"3117";"3447";"2932";"2870";"3054";"5058";"4993";"4908";"4916";"2856";"2546";"2980";"2811";"2643";"2696";"2771";"2948";"4379";"3252";"3806";"3246";"1994";"1694";"1129";"1705";"1668";"1774";"1846";"2264";"1780";"1466";"1181";"2458";"1180";"1096";"2357";"1868";"1391";"2699";"2364";"2748";"1245";"2610";"2537";"2001";"2717";"1104";"985";"1205";"1741";"2191";"2687";"1863";"2162";"1913";"2355";"2110";"2091";"484";"1863";"1804";"2068";"2117";"1997";"2541";"2613";"2873";"1985";"1553";"1000";"29801214"
"Hepatite A (HA)";"0";"0";"0";"0";"0";"0";"38";"41062";"58788";"68883";"8125";"7312";"7177";"5383";"7235";"8092";"6352";"8553";"5483";"5692";"9124";"6743";"6961";"6656";"6866";"7874";"10853";"7285";"9032";"8748";"10050";"8153";"8884";"8719";"8750";"8001";"7607";"6535";"7570";"7635";"8435";"9946";"8070";"9532";"7686";"9907";"9883";"10111";"11451";"8430";"10302";"9978";"11379";"11200";"10861";"9828";"10939";"10313";"14442";"12860";"11655";"12363";"11661";"11780";"13954";"14202";"13896";"12983";"11755";"16091";"17965";"22375";"13531";"12649";"14992";"14472";"15399";"14312";"13402";"13566";"14210";"13955";"14503";"11576";"12097";"10808";"12899";"13289";"15733";"14499";"13808";"13844";"12726";"11372";"14951";"14933";"13904";"15567";"14921";"14071";"16552";"20052";"19852";"19198";"17471";"17718";"20779";"15135";"19170";"20006";"20870";"23863";"21386";"23411";"17640";"16709";"20069";"14971";"23402";"28885";"21542";"20333";"20805";"20665";"24374";"22661";"21913";"21472";"21122";"18011";"22505";"18922";"18286";"18816";"18315";"19221";"74972";"260527";"430351";"357202";"448429";"221035";"255731";"241640";"274738";"244590";"255483";"227023";"250912";"461712";"216325";"199165";"184375";"135174";"98819";"64893";"112719";"169621";"180729";"190312";"207922";"227719";"438092";"172970";"191020";"167192";"239489";"184975";"239465";"185819";"247264";"211249";"225119";"240623";"451180";"219015";"205054";"163062";"240102";"168586";"191225";"199870";"206953";"218642";"267526";"332713";"207215";"239096";"210842";"163212";"252010";"203631";"216171";"222831";"230329";"177921";"252288";"269340";"244084";"276576";"211403";"147625";"17012442"
"Hepatite B (HB)";"2297035";"2521993";"2989325";"2002570";"8747762";"23190333";"16638758";"35206019";"30906741";"24266713";"1467413";"1446057";"1544279";"1573030";"1582186";"1779987";"1466571";"1651051";"1440826";"1308836";"1440053";"1248684";"1256167";"1195434";"1336720";"1359285";"1421870";"1615368";"1326767";"1829855";"1563594";"1456677";"1476876";"1263660";"1265083";"1187083";"1361740";"1226581";"1338010";"1320662";"1245826";"1357088";"1177147";"1251259";"1273225";"1134249";"1258273";"1185062";"1279248";"1222725";"1302287";"1336984";"1229420";"1393125";"1237757";"1286422";"1178181";"1041786";"1408455";"1246036";"1197061";"1241541";"1167555";"1241762";"1161679";"1552120";"1385279";"1140646";"1091727";"975473";"1070348";"1044293";"1365184";"1230943";"1325309";"1321017";"1192652";"1189070";"1260107";"1171281";"1209320";"1052344";"1085496";"1031386";"1277085";"1440360";"1362034";"1241628";"1197895";"1313159";"1222545";"1176455";"1226618";"1096549";"1170885";"1191549";"1265356";"1329916";"1491790";"1430588";"1416905";"1682807";"1468758";"1462457";"1508089";"1275635";"1398316";"1371712";"1523647";"1500733";"1634292";"1499618";"1436841";"1468951";"1099790";"1044054";"985276";"798823";"1018339";"1075613";"1098415";"1299466";"1229920";"1262547";"1371932";"1752304";"1714070";"1586147";"1317850";"1076122";"1232776";"1297941";"1291536";"1367575";"1435727";"1191600";"1361447";"1342090";"1363549";"1161526";"1118713";"890496";"1029829";"1013232";"1165906";"1050454";"1288056";"1051093";"1025844";"1052275";"968253";"870720";"818339";"647493";"537311";"406577";"586317";"636179";"694495";"672419";"650885";"667735";"684301";"518238";"544547";"495377";"735738";"727227";"868554";"769888";"878981";"746518";"707672";"768289";"770220";"702547";"643670";"542961";"782691";"660238";"712879";"786220";"853228";"693370";"714112";"767499";"610848";"628274";"563883";"450822";"596037";"582733";"587975";"780622";"914664";"639123";"726119";"756139";"725281";"707214";"658404";"458867";"365430001"
"Hepatite B não soroconversão";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"254";"169";"214";"293";"81";"279";"90";"170";"181";"238";"256";"203";"227";"323";"114";"240";"199";"155";"225";"241";"164";"127";"257";"201";"156";"195";"228";"290";"542";"550";"429";"288";"223";"289";"212";"167";"179";"440";"278";"216";"315";"586";"174";"90";"251";"80";"199";"366";"448";"345";"457";"328";"313";"304";"201";"735";"518";"464";"709";"433";"715";"557";"697";"691";"568";"46531";"45038";"32710";"30431";"30379";"21226";"27887";"26731";"25118";"23638";"25206";"23066";"24292";"21706";"24498";"19441";"20162";"16459";"19131";"16589";"21167";"19308";"22232";"18164";"17969";"18794";"17846";"14391";"14015";"11845";"7401";"7498";"7366";"11954";"9405";"9475";"9496";"10165";"9596";"7754";"8335";"7864";"7355";"7394";"8676";"7672";"8208";"8647";"7721";"6893";"6349";"5716";"5469";"4809";"5717";"4311";"5724";"4546";"5647";"4142";"4722";"5623";"3617";"3762";"3330";"2214";"6920";"5503";"6580";"6085";"6380";"5273";"6423";"7735";"6561";"6753";"5437";"3168";"1033490"
"Influenza (INF)";"0";"0";"0";"0";"0";"0";"12992";"831331";"1287287";"1609224";"17255";"23696";"27178";"334567";"726684";"258757";"96692";"92954";"32992";"19472";"26178";"21518";"14722";"5305";"5011";"282145";"821627";"446470";"183040";"125480";"69093";"48342";"48300";"53582";"94419";"22714";"13563";"176557";"1039130";"469387";"252876";"117862";"79257";"52243";"37830";"33834";"30995";"31794";"22683";"235551";"1187172";"507145";"194640";"128745";"68831";"46644";"30939";"34002";"20832";"35899";"18463";"168062";"869629";"616648";"242011";"114246";"64177";"33624";"44067";"24883";"15434";"21614";"46316";"204872";"838500";"725425";"324028";"211808";"158365";"68334";"44514";"39256";"15949";"13735";"30279";"95345";"225879";"197046";"129859";"68487";"32418";"20298";"19020";"14799";"7915";"8248";"25744";"367690";"710013";"783431";"466595";"245014";"58286";"14586";"103017";"5688";"1888";"7707";"30542";"71839";"1321702";"1614843";"1153335";"809838";"224932";"179301";"132822";"81545";"36231";"9303";"43935";"488180";"800606";"539205";"351707";"265241";"185098";"130430";"58151";"27704";"22577";"4942";"32421";"438437";"861678";"365825";"300751";"292905";"262285";"187166";"112948";"80937";"12871";"2598";"1985";"63093";"1309134";"385140";"208080";"180663";"168970";"119712";"87609";"57404";"32375";"16651";"35875";"876957";"871243";"335017";"304501";"154424";"125254";"68784";"59386";"35848";"7506";"5419";"8116";"106626";"305762";"175662";"86393";"61142";"112060";"46301";"24433";"13971";"9836";"4812";"5324";"94803";"233559";"192134";"188039";"130423";"30593";"18334";"13350";"6799";"3571";"706";"11504";"112174";"120194";"53691";"46057";"12385";"6460";"3734";"3216";"4020";"40342695"
"Influenza (Campanha) (INF)";"0";"0";"0";"0";"0";"7632980";"9416979";"10765342";"11026864";"12361862";"0";"0";"0";"13014914";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13106005";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13518358";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13834416";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14081506";"0";"6797";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16082909";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15361040";"413967";"6919";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"275976";"4473320";"9654485";"9779096";"2853294";"2035127";"0";"0";"405731";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180107887"
