"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"BCG (BCG)";"2176263";"4503836";"4577037";"5552032";"5200963";"5477080";"5197502";"5327006";"5149288";"5094667";"4802943";"5010383";"4060680";"3424947";"3282048";"3222234";"3118613";"3152376";"3080362";"3053982";"3106573";"3057969";"2869173";"2953365";"2881295";"2554322";"2143537";"104030476"
"BCG - Hanseníase (BCG)";"32167";"56908";"56707";"83949";"90484";"101455";"101849";"26893";"1124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"97329";"89504";"54516";"35425";"29353";"23783";"18246";"24983";"924675"
"Febre Amarela (FA)";"1540553";"2327064";"2013918";"2539660";"11885236";"16125871";"22367455";"13693626";"4435823";"5227862";"4308851";"4712897";"4257567";"5362134";"17167454";"10417238";"6712319";"6691068";"5664667";"5550605";"4839167";"5605855";"6255944";"24602876";"14478001";"8052571";"9915033";"226751315"
"Hepatite A (HA)";"0";"0";"0";"0";"0";"0";"38";"41062";"58788";"68883";"85271";"100081";"99674";"124675";"157642";"180828";"157154";"199190";"234009";"265185";"1908581";"2946868";"2222008";"2812314";"2645982";"2704209";"2360201";"19372643"
"Hepatite B (HB)";"2297035";"2521993";"2989325";"2002570";"8747762";"23190333";"16638758";"35206019";"30906741";"24266713";"17948973";"17102273";"15137953";"14951270";"14809334";"14431868";"14671210";"16694735";"15762053";"15802725";"15054976";"11981494";"7094381";"8862265";"8224064";"8133178";"5719094";"371149095"
"Influenza (INF)";"0";"0";"0";"0";"0";"0";"12992";"831331";"1287287";"1609224";"1677943";"2103117";"2389672";"2519141";"2252541";"2698466";"863114";"2796227";"5630294";"2935791";"2962872";"2597259";"2916315";"953391";"928006";"377712";"1836551";"42179246"
"Varicela";"0";"0";"0";"0";"0";"0";"740";"97312";"67399";"129834";"78108";"153040";"183789";"252088";"254568";"237768";"250089";"271187";"463883";"351966";"392190";"408503";"1665784";"1405236";"3345491";"3719203";"3769542";"17497720"
"Dupla Adulto (dT)";"635915";"1961648";"4442685";"7071457";"10627148";"22866284";"19081051";"18598914";"19616336";"19412201";"15805539";"16968552";"15515142";"24771496";"17038013";"14072237";"14779488";"14617151";"14402821";"17854235";"16946008";"13793418";"7114762";"10301792";"10185213";"11055901";"8615811";"368151218"
"Dupla Infantil (DT)";"45214";"1086";"2265";"28372";"4934";"24242";"25369";"5643";"3546";"1638";"909";"376";"339";"453";"703";"899";"1135";"1017";"998";"3208";"2997";"1868";"880";"717";"696";"496";"1417";"161417"
"Poliomielite inativada (VIP)";"0";"0";"0";"0";"0";"0";"4";"26596";"60709";"64986";"59137";"78545";"74942";"74629";"86973";"101459";"109132";"107925";"182636";"223377";"864375";"2221360";"7244948";"8001819";"7960116";"7607323";"7068816";"42219807"
