"Imunobiológicos";"Doses_aplicadas"
"BCG (BCG)";"104030476"
"BCG - Hanseníase (BCG)";"924675"
"Febre Amarela (FA)";"226751315"
"Hepatite A (HA)";"19372643"
"Hepatite B (HB)";"371149095"
"Influenza (INF)";"42179246"
"Varicela";"17497720"
"Dupla Adulto (dT)";"368151218"
"Dupla Infantil (DT)";"161417"
"Poliomielite inativada (VIP)";"42219807"
"Meningocócica Conjugada - C (MncC)";"96179072"
"Oral Poliomielite (VOP)";"293047939"
"Oral de Rotavírus Humano (VORH)";"77137113"
"Pentavalente (DTP+HB+Hib) (PENTA)";"69698719"
"Pneumocócica 10valente";"100048715"
"Tetravalente (DTP/Hib) (TETRA)";"93651505"
"Tríplice Bacteriana (DTP)";"203859511"
"Tríplice Viral (SCR)";"198818534"
"Tetraviral (sarampo, rubéola, caxumbae varicela)";"9831733"
"HPV Quadrivalente - Feminino";"32304954"
"HPV Quadrivalente - Masculino";"9980159"
"HPV";"880751"
"Total";"2377876317"
