"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"BCG (BCG)";"2176263";"4503836";"4577037";"5552032";"5200963";"5477080";"5197502";"5327006";"5149288";"5094667";"4802943";"5010383";"4060680";"3424947";"3282048";"3222234";"3118613";"3152376";"3080362";"3053982";"3106573";"3057969";"2869173";"2953365";"2881295";"2554322";"2143404";"104030343"
"BCG - Hanseníase (BCG)";"32167";"56908";"56707";"83949";"90484";"101455";"101849";"26893";"1124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"97329";"89504";"54516";"35425";"29353";"23783";"18246";"24983";"924675"
"Febre Amarela (FA)";"1540553";"2327064";"2013918";"2539660";"11885236";"16125871";"22367455";"13693626";"4435823";"5227862";"4308851";"4712897";"4257567";"5362134";"17167454";"10417238";"6712319";"6691068";"5664667";"5550605";"4839167";"5605855";"6255944";"24602876";"14478001";"8052571";"9915030";"226751312"
"Febre Tifóide (FT)";"0";"40";"0";"20";"10507";"3536";"4498";"3643";"5396";"7480";"5791";"14313";"8979";"9774";"8430";"6006";"6207";"6483";"6341";"2738";"3407";"3265";"4507";"3895";"2483";"363";"153";"128255"
"Haemophilus influenzae tipo b (Hib)";"167";"663";"1606";"3403";"158077";"1703461";"10368486";"11393605";"4172061";"678352";"344351";"91930";"86447";"90984";"76797";"86000";"79021";"93721";"106090";"93713";"45124";"36072";"20145";"25633";"22407";"22898";"20181";"29821395"
"Hepatite A (HA)";"0";"0";"0";"0";"0";"0";"38";"41062";"58788";"68883";"85271";"100081";"99674";"124675";"157642";"180828";"157154";"199190";"234009";"265185";"1908581";"2946868";"2222008";"2812314";"2645982";"2704209";"2360200";"19372642"
"Hepatite B (HB)";"2297035";"2521993";"2989325";"2002570";"8747762";"23190333";"16638758";"35206019";"30906741";"24266713";"17948973";"17102273";"15137953";"14951270";"14809334";"14431868";"14671210";"16694735";"15762053";"15802725";"15054976";"11981494";"7094381";"8862265";"8224064";"8133178";"5718952";"371148953"
"Hepatite B não soroconversão";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2227";"2475";"3603";"2975";"5188";"209976";"278204";"211451";"106309";"84909";"53355";"72818";"39752";"1073242"
"Influenza (INF)";"0";"0";"0";"0";"0";"0";"12992";"831331";"1287287";"1609224";"1677943";"2103117";"2389672";"2519141";"2252541";"2698466";"863114";"2796227";"5630294";"2935791";"2962872";"2597259";"2916315";"953391";"928006";"377712";"1836551";"42179246"
"Influenza (Campanha) (INF)";"0";"0";"0";"0";"0";"7632980";"9416979";"10765342";"11026864";"12361862";"13014914";"13106005";"13518358";"13834416";"14088303";"16082909";"15781926";"0";"0";"29477029";"0";"0";"0";"0";"0";"0";"0";"180107887"
